sample_id,sample_name,sample_label,input_fastq,output_fastq,output_size_bytes,bbduk_version,reads_in,bases_in,reads_out,bases_out,reads_removed,bases_removed,reads_qtrimmed,bases_qtrimmed,runtime_s
GFB-61811,clibMAGE-A32xnegative,GFB-61811_clibMAGE-A32xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122702222-252273/original/GFB-61811_2510601042_1_clibMAGE-A32xnegative/raw_data/GFB-61811_2510601042_1_clibMAGE-A32xnegative_S1_L001_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61811_clibMAGE-A32xnegative/GFB-61811_2510601042_1_clibMAGE-A32xnegative_S1_L001_R1_001.trimmed.fastq.gz,2205193739,39.33,31276031,6255206200,16036183,3187843710,15239848,3067362490,18752741,3067362490,129.1262035369873
GFB-61811,clibMAGE-A32xnegative,GFB-61811_clibMAGE-A32xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212835247-252775/original/GFB-61811_2510680936_1_clibMAGE-A32xnegative/raw_data/GFB-61811_2510680936_1_clibMAGE-A32xnegative_S1_L001_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61811_clibMAGE-A32xnegative/GFB-61811_2510680936_1_clibMAGE-A32xnegative_S1_L001_R1_001.trimmed.fastq.gz,1088809457,39.33,16957339,3391467800,8280714,1647546431,8676625,1743921369,10332736,1743921369,69.26428651809692
GFB-61811,clibMAGE-A32xnegative,GFB-61811_clibMAGE-A32xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122709005-252279/original/GFB-61811_2510601042_2_clibMAGE-A32xnegative/raw_data/GFB-61811_2510601042_2_clibMAGE-A32xnegative_S1_L002_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61811_clibMAGE-A32xnegative/GFB-61811_2510601042_2_clibMAGE-A32xnegative_S1_L002_R1_001.trimmed.fastq.gz,2746797039,39.33,41011350,8202270000,21026110,4183515894,19985240,4018754106,24192611,4018754106,175.05456447601318
GFB-61811,clibMAGE-A32xnegative,GFB-61811_clibMAGE-A32xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212731335-252764/original/GFB-61811_2510680936_2_clibMAGE-A32xnegative/raw_data/GFB-61811_2510680936_2_clibMAGE-A32xnegative_S1_L002_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61811_clibMAGE-A32xnegative/GFB-61811_2510680936_2_clibMAGE-A32xnegative_S1_L002_R1_001.trimmed.fastq.gz,1245040371,39.33,20811611,4162322200,9899658,1970848824,10911953,2191473376,12735076,2191473376,84.98560500144958
GFB-61812,clibTitin2xnegative,GFB-61812_clibTitin2xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122653204-252266/original/GFB-61812_2510601042_1_clibTitin2xnegative/raw_data/GFB-61812_2510601042_1_clibTitin2xnegative_S2_L001_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61812_clibTitin2xnegative/GFB-61812_2510601042_1_clibTitin2xnegative_S2_L001_R1_001.trimmed.fastq.gz,1651577396,39.33,20788874,4157774800,11915779,2368835718,8873095,1788939082,11459085,1788939082,91.41915440559387
GFB-61812,clibTitin2xnegative,GFB-61812_clibTitin2xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212700294-252760/original/GFB-61812_2510680936_1_clibTitin2xnegative/raw_data/GFB-61812_2510680936_1_clibTitin2xnegative_S2_L001_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61812_clibTitin2xnegative/GFB-61812_2510680936_1_clibTitin2xnegative_S2_L001_R1_001.trimmed.fastq.gz,914173405,39.33,11950404,2390080800,6952157,1383447564,4998247,1006633236,6341492,1006633236,52.22349548339844
GFB-61812,clibTitin2xnegative,GFB-61812_clibTitin2xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122655910-252268/original/GFB-61812_2510601042_2_clibTitin2xnegative/raw_data/GFB-61812_2510601042_2_clibTitin2xnegative_S2_L002_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61812_clibTitin2xnegative/GFB-61812_2510601042_2_clibTitin2xnegative_S2_L002_R1_001.trimmed.fastq.gz,1843948444,39.33,25179875,5035975000,14226519,2831936794,10953356,2204038206,13554807,2204038206,112.16926836967468
GFB-61812,clibTitin2xnegative,GFB-61812_clibTitin2xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212755449-252770/original/GFB-61812_2510680936_2_clibTitin2xnegative/raw_data/GFB-61812_2510680936_2_clibTitin2xnegative_S2_L002_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61812_clibTitin2xnegative/GFB-61812_2510680936_2_clibTitin2xnegative_S2_L002_R1_001.trimmed.fastq.gz,916015598,39.33,13312388,2662477600,7431265,1480191128,5881123,1182286472,7103935,1182286472,56.19429421424866
GFB-61813,clibKH1582xnegative,GFB-61813_clibKH1582xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122651244-252265/original/GFB-61813_2510601042_1_clibKH1582xnegative/raw_data/GFB-61813_2510601042_1_clibKH1582xnegative_S3_L001_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61813_clibKH1582xnegative/GFB-61813_2510601042_1_clibKH1582xnegative_S3_L001_R1_001.trimmed.fastq.gz,1644919787,39.33,21266850,4253370000,11959523,2378341302,9307327,1875028698,11757424,1875028698,90.31305480003357
GFB-61813,clibKH1582xnegative,GFB-61813_clibKH1582xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212757745-252772/original/GFB-61813_2510680936_1_clibKH1582xnegative/raw_data/GFB-61813_2510680936_1_clibKH1582xnegative_S3_L001_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61813_clibKH1582xnegative/GFB-61813_2510680936_1_clibKH1582xnegative_S3_L001_R1_001.trimmed.fastq.gz,898601724,39.33,12188341,2437668200,6883047,1370106407,5305294,1067561793,6558116,1067561793,52.62861752510071
GFB-61813,clibKH1582xnegative,GFB-61813_clibKH1582xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122703736-252274/original/GFB-61813_2510601042_2_clibKH1582xnegative/raw_data/GFB-61813_2510601042_2_clibKH1582xnegative_S3_L002_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61813_clibKH1582xnegative/GFB-61813_2510601042_2_clibKH1582xnegative_S3_L002_R1_001.trimmed.fastq.gz,2306803767,39.33,32575920,6515184000,17998216,3583747624,14577704,2931436376,17670087,2931436376,142.17237663269043
GFB-61813,clibKH1582xnegative,GFB-61813_clibKH1582xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212729520-252763/original/GFB-61813_2510680936_2_clibKH1582xnegative/raw_data/GFB-61813_2510680936_2_clibKH1582xnegative_S3_L002_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61813_clibKH1582xnegative/GFB-61813_2510680936_2_clibKH1582xnegative_S3_L002_R1_001.trimmed.fastq.gz,1101415380,39.33,16745559,3349111800,9025292,1798105030,7720267,1551006770,9119048,1551006770,70.30115270614624
GFB-61814,clibKH1592xnegative,GFB-61814_clibKH1592xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122659573-252271/original/GFB-61814_2510601042_1_clibKH1592xnegative/raw_data/GFB-61814_2510601042_1_clibKH1592xnegative_S4_L001_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61814_clibKH1592xnegative/GFB-61814_2510601042_1_clibKH1592xnegative_S4_L001_R1_001.trimmed.fastq.gz,2369837564,39.33,30372402,6074480400,17910608,3562507970,12461794,2511972430,16038794,2511972430,136.27187609672546
GFB-61814,clibKH1592xnegative,GFB-61814_clibKH1592xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212754527-252769/original/GFB-61814_2510680936_1_clibKH1592xnegative/raw_data/GFB-61814_2510680936_1_clibKH1592xnegative_S4_L001_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61814_clibKH1592xnegative/GFB-61814_2510680936_1_clibKH1592xnegative_S4_L001_R1_001.trimmed.fastq.gz,1239911930,39.33,17067857,3413571400,9856287,1962054067,7211570,1451517333,8999967,1451517333,73.29093480110168
GFB-61814,clibKH1592xnegative,GFB-61814_clibKH1592xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122712487-252283/original/GFB-61814_2510601042_2_clibKH1592xnegative/raw_data/GFB-61814_2510601042_2_clibKH1592xnegative_S4_L002_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61814_clibKH1592xnegative/GFB-61814_2510601042_2_clibKH1592xnegative_S4_L002_R1_001.trimmed.fastq.gz,3042775321,39.33,42769610,8553922000,24280948,4833875900,18488662,3720046100,22862377,3720046100,192.2330927848816
GFB-61814,clibKH1592xnegative,GFB-61814_clibKH1592xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212739536-252765/original/GFB-61814_2510680936_2_clibKH1592xnegative/raw_data/GFB-61814_2510680936_2_clibKH1592xnegative_S4_L002_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61814_clibKH1592xnegative/GFB-61814_2510680936_2_clibKH1592xnegative_S4_L002_R1_001.trimmed.fastq.gz,1432722107,39.33,21846850,4369370000,11984354,2387196448,9862496,1982173552,11822011,1982173552,94.25652074813843
GFB-61815,clibKH1602xnegative,GFB-61815_clibKH1602xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122635741-252262/original/GFB-61815_2510601042_1_clibKH1602xnegative/raw_data/GFB-61815_2510601042_1_clibKH1602xnegative_S5_L001_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61815_clibKH1602xnegative/GFB-61815_2510601042_1_clibKH1602xnegative_S5_L001_R1_001.trimmed.fastq.gz,1446334672,39.33,19462394,3892478800,10777316,2143396283,8685078,1749082517,10897407,1749082517,83.04840779304504
GFB-61815,clibKH1602xnegative,GFB-61815_clibKH1602xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212654171-252755/original/GFB-61815_2510680936_1_clibKH1602xnegative/raw_data/GFB-61815_2510680936_1_clibKH1602xnegative_S5_L001_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61815_clibKH1602xnegative/GFB-61815_2510680936_1_clibKH1602xnegative_S5_L001_R1_001.trimmed.fastq.gz,728817434,39.33,10825230,2165046000,5712908,1137251899,5112322,1027794101,6156133,1027794101,46.18037939071655
GFB-61815,clibKH1602xnegative,GFB-61815_clibKH1602xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122654560-252267/original/GFB-61815_2510601042_2_clibKH1602xnegative/raw_data/GFB-61815_2510601042_2_clibKH1602xnegative_S5_L002_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61815_clibKH1602xnegative/GFB-61815_2510601042_2_clibKH1602xnegative_S5_L002_R1_001.trimmed.fastq.gz,1614432626,39.33,25032533,5006506600,12768986,2542366944,12263547,2464139656,14513822,2464139656,105.13764762878418
GFB-61815,clibKH1602xnegative,GFB-61815_clibKH1602xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212655100-252756/original/GFB-61815_2510680936_2_clibKH1602xnegative/raw_data/GFB-61815_2510680936_2_clibKH1602xnegative_S5_L002_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61815_clibKH1602xnegative/GFB-61815_2510680936_2_clibKH1602xnegative_S5_L002_R1_001.trimmed.fastq.gz,744502906,39.33,12912135,2582427000,6168583,1228844077,6743552,1353582923,7736884,1353582923,51.89840817451477
GFB-61816,clibKH1632xnegative,GFB-61816_clibKH1632xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122646770-252263/original/GFB-61816_2510601042_1_clibKH1632xnegative/raw_data/GFB-61816_2510601042_1_clibKH1632xnegative_S6_L001_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61816_clibKH1632xnegative/GFB-61816_2510601042_1_clibKH1632xnegative_S6_L001_R1_001.trimmed.fastq.gz,1600716745,39.33,20554589,4110917800,11852409,2356567726,8702180,1754350074,11226676,1754350074,87.60044765472412
GFB-61816,clibKH1632xnegative,GFB-61816_clibKH1632xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212820999-252774/original/GFB-61816_2510680936_1_clibKH1632xnegative/raw_data/GFB-61816_2510680936_1_clibKH1632xnegative_S6_L001_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61816_clibKH1632xnegative/GFB-61816_2510680936_1_clibKH1632xnegative_S6_L001_R1_001.trimmed.fastq.gz,853651551,39.33,11615507,2323101400,6660509,1325497230,4954998,997604170,6229157,997604170,52.19671940803528
GFB-61816,clibKH1632xnegative,GFB-61816_clibKH1632xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122700783-252272/original/GFB-61816_2510601042_2_clibKH1632xnegative/raw_data/GFB-61816_2510601042_2_clibKH1632xnegative_S6_L002_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61816_clibKH1632xnegative/GFB-61816_2510601042_2_clibKH1632xnegative_S6_L002_R1_001.trimmed.fastq.gz,2085828044,39.33,29657543,5931508600,16461752,3276703497,13195791,2654805103,16232740,2654805103,133.38377618789673
GFB-61816,clibKH1632xnegative,GFB-61816_clibKH1632xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212657059-252757/original/GFB-61816_2510680936_2_clibKH1632xnegative/raw_data/GFB-61816_2510680936_2_clibKH1632xnegative_S6_L002_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61816_clibKH1632xnegative/GFB-61816_2510680936_2_clibKH1632xnegative_S6_L002_R1_001.trimmed.fastq.gz,994760518,39.33,15274048,3054809600,8246473,1642485456,7027575,1412324144,8397637,1412324144,60.4603533744812
GFB-61817,clibKH1642xnegative,GFB-61817_clibKH1642xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122115274-252254/original/GFB-61817_2510601042_1_clibKH1642xnegative/raw_data/GFB-61817_2510601042_1_clibKH1642xnegative_S7_L001_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61817_clibKH1642xnegative/GFB-61817_2510601042_1_clibKH1642xnegative_S7_L001_R1_001.trimmed.fastq.gz,547409773,39.33,9867933,1973586600,3897407,774640738,5970526,1198945862,6839928,1198945862,39.91726899147034
GFB-61817,clibKH1642xnegative,GFB-61817_clibKH1642xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212702760-252762/original/GFB-61817_2510680936_1_clibKH1642xnegative/raw_data/GFB-61817_2510680936_1_clibKH1642xnegative_S7_L001_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61817_clibKH1642xnegative/GFB-61817_2510680936_1_clibKH1642xnegative_S7_L001_R1_001.trimmed.fastq.gz,335942911,39.33,5843090,1168618000,2514300,500222982,3328790,668395018,3832983,668395018,24.41781759262085
GFB-61817,clibKH1642xnegative,GFB-61817_clibKH1642xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122112600-252251/original/GFB-61817_2510601042_2_clibKH1642xnegative/raw_data/GFB-61817_2510601042_2_clibKH1642xnegative_S7_L002_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61817_clibKH1642xnegative/GFB-61817_2510601042_2_clibKH1642xnegative_S7_L002_R1_001.trimmed.fastq.gz,898170748,39.33,14704022,2940804400,6866750,1366475324,7837272,1574329076,9161572,1574329076,62.246699810028076
GFB-61817,clibKH1642xnegative,GFB-61817_clibKH1642xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212641431-252745/original/GFB-61817_2510680936_2_clibKH1642xnegative/raw_data/GFB-61817_2510680936_2_clibKH1642xnegative_S7_L002_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61817_clibKH1642xnegative/GFB-61817_2510680936_2_clibKH1642xnegative_S7_L002_R1_001.trimmed.fastq.gz,457670588,39.33,7731597,1546319400,3668185,730420791,4063412,815898609,4703963,815898609,30.914828777313232
GFB-61818,clibKH1652xnegative,GFB-61818_clibKH1652xnegative,/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122706531-252277/original/GFB-61818_2510601042_1_clibKH1652xnegative/raw_data/GFB-61818_2510601042_1_clibKH1652xnegative_S8_L001_R1_001.fastq.gz,/cluster/project/reddy/katja/NGS_pipeline/data/P3408_LUCA-TCRA3/processed/GFB-61818_clibKH1652xnegative/GFB-61818_2510601042_1_clibKH1652xnegative_S8_L001_R1_001.trimmed.fastq.gz,2846182127,39.33,37584674,7516934800,21169597,4210555678,16415077,3306379122,20653706,3306379122,178.3025221824646
